TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,NU_NOTA_REDACAO
3,F,1,1,1,1,1,1,,0,,,,,,,4115200,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,570.1,531.2,577.9,649.6,1,1.0,C,G,C,E,5,J,A,B,C,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,B,605.38293
2,M,1,1,1,2,0,2,1.0,0,4126504.0,41.0,PR,2.0,1.0,1.0,4109807,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,537.0,492.8,494.6,667.5,1,1.0,D,G,A,D,5,H,B,C,D,C,C,C,B,B,A,B,A,A,C,A,B,E,B,B,B,605.38293
5,M,1,1,1,1,3,1,,0,,,,,,,4122404,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,549.4,607.7,559.0,703.1,0,1.0,E,G,B,D,4,G,A,C,D,B,A,B,B,B,A,B,A,A,C,A,A,E,A,B,B,605.38293
5,F,1,3,1,1,3,1,,0,,,,,,,4100400,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,638.9,652.9,464.6,549.3,1,1.0,D,B,B,B,3,C,A,B,C,B,A,B,B,B,A,B,A,A,B,A,A,D,A,A,B,605.38293
1,F,1,1,1,3,0,1,,1,,,,,,,4111407,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,463.7,503.9,513.8,608.1,1,1.0,E,F,A,D,5,G,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,D,A,B,B,605.38293
2,F,1,3,1,3,0,1,,1,,,,,,,4125506,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,540.9,571.4,515.3,424.2,1,1.0,E,H,D,B,5,C,A,B,D,B,B,B,B,B,A,B,A,A,C,A,A,E,A,C,B,605.38293
2,F,1,3,1,2,0,2,1.0,0,4118105.0,41.0,PR,2.0,1.0,1.0,4105904,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,579.7,571.7,545.6,627.6,1,1.0,E,E,C,D,4,E,A,B,D,B,A,B,B,B,A,B,A,B,B,A,B,D,B,B,B,605.38293
2,M,1,3,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,420.2,577.1,555.9,712.5,0,1.0,G,F,E,D,3,H,A,D,D,C,A,B,B,B,B,B,A,B,C,B,A,D,A,C,B,605.38293
2,F,1,1,1,3,0,1,,1,,,,,,,4104204,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,551.2,610.0,639.5,626.8,0,1.0,G,F,D,D,5,N,A,B,C,B,A,B,B,B,B,B,A,B,D,B,B,E,B,A,B,605.38293
4,F,1,1,1,1,2,1,,0,,,,,,,4109401,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,483.4,573.3,522.9,547.8,0,1.0,E,E,C,B,7,F,A,B,D,C,A,B,A,B,A,B,A,A,B,A,A,E,A,B,B,605.38293
2,M,1,3,1,2,0,2,1.0,0,4127700.0,41.0,PR,2.0,1.0,1.0,4127700,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,601.5,591.8,547.6,737.9,0,1.0,E,F,C,B,5,E,A,B,D,B,B,B,A,B,A,A,A,A,B,A,A,E,A,B,B,605.38293
5,M,1,1,1,1,2,1,,0,,,,,,,4107207,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,474.3,576.3,535.6,724.9,1,1.0,E,D,B,B,4,C,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A,605.38293
2,F,1,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,603.5,650.4,647.0,661.7,0,1.0,G,G,E,E,5,Q,B,E,E,C,A,B,A,B,B,B,B,B,E,A,A,E,A,E,B,605.38293
1,F,1,1,1,3,0,1,,1,,,,,,,4120804,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,480.0,442.2,483.5,460.3,0,1.0,E,E,B,B,3,C,A,B,D,B,A,B,A,B,A,A,A,A,C,A,B,D,A,B,B,605.38293
6,F,1,1,1,1,4,1,,0,,,,,,,4104808,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,624.9,623.6,619.0,752.5,1,1.0,E,G,B,D,2,G,A,B,C,B,A,B,B,B,A,B,A,B,B,A,B,C,A,B,B,605.38293
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,440.6,599.1,560.7,572.3,0,1.0,F,F,D,D,4,H,A,D,D,B,A,C,C,B,B,B,A,B,D,A,B,E,A,C,B,605.38293
2,M,1,4,1,2,0,2,1.0,0,,,,,,,4106407,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,590.9,606.6,562.1,707.9,0,1.0,F,F,A,D,3,F,A,C,D,C,A,B,A,B,A,B,A,A,B,B,A,D,B,B,B,605.38293
2,M,1,3,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,489.7,611.1,601.8,484.3,1,1.0,E,E,B,B,3,F,A,C,C,B,A,B,B,B,B,B,A,B,E,A,A,D,A,A,B,605.38293
